title,openTypeList,detail
冀香糯1号,农业##植物,冀香糯1号，株高111cm，分蘖力强，穗长18.6cm，每穗粒数150.4个，结实率83%，千粒重29.9 g。生育期169天左右。2008年农业部谷物品质监督检验测试中心检测，籽粒粗蛋白9.83%，糙米率82.5%，精米率74.3%，整精米率38%，胶稠度99mm，碱消值6，长宽比2.0。建议在河北省秦皇岛、唐山市稻区作糯性专用品种种植。
保玉1号,农业##植物##玉米##种子,保玉1号，由江苏保丰集团有限公司以保夏70×齐319配组，于2004年育成，属中熟半紧凑型普通玉米。夏播一般在6月中旬播种。
岑溪软枝油茶,农业##植物##特产##自然,岑溪软枝油茶是我国第一个油茶良种，以枝条韧软、挂果下垂而得名。具有速生、早实、高产等优良特性。是广西林科院采用实生繁殖、经过连续15年系统品种比较试验选育出来的优良品种，属普通油茶的一个农家品种。该品种已通过国家林木良种审定。有关专家认为，岑溪软枝油茶良种具有很高的推广利用价值。
D优二零二,农业##植物##水稻,D优二零二是种植农作物品种中的一种。系四川农业大学水稻研究所，四川农大高科农业有限责任公司，安徽川农高科种业有限责任公司用D62A×蜀恢202，于2002年育成的杂交中籼组合。
东三一五,农业##植物,东三一五，国家审定种植农作物品种，经第二届国家农作物品种审定委员会第一次会议审定通过，抗小斑病，中抗大斑病、丝黑穗病、茎腐病、纹枯病和玉米螟。
东单335,农业##植物##生物##自然,东单335是属于种子植物门、单子叶植物纲、禾本目、禾本科的植物。幼苗叶鞘深紫色，叶片绿色，叶缘紫色，株型紧凑，株高305厘米，穗位137厘米，成株叶片数20片。
东单80号,农业##植物##生物##自然,东单80号”是辽宁东亚种业有限公司以母本 C260，来源于掖 478 与 9046 杂交选出的自交系 C201 再与 C8605 杂交选育；父本 C168，来源于C101（丹598变异株）与旅系 E28 以及 599 系混合授粉后形成的综合种，再自交选育。适宜在辽宁、吉林晚熟区、北京、天津、河北北部、山西春播和云南、贵州、四川、重庆、湖南、湖北、广西的平坝丘陵和低山区种植，注意防治地下害虫。
东单100号,农业##植物##生物##自然,东单100号，辽宁东亚种业有限公司选育的玉米品种。于2002年以A7为母本，以F41为父本组配而成的单交种。经连续自交6代选育而成。幼苗叶鞘紫色，叶片深绿色，叶缘紫色，株型紧凑，株高324.5厘米，穗位136.5厘米，成株叶片数21～22片。
东单八零号,农业##植物,东单80号，辽宁东亚种业有限公司选育。母本C260，来源于掖478与9046杂交选出的自交系C201再与C8605杂交选育；父本C168，来源于C101（丹598变异株）与旅系E28以及599系混合授粉后形成的综合种，再自交选育。适宜在辽宁、吉林晚熟区、北京、天津、河北北部、山西春播和云南、贵州、四川、重庆、湖南、湖北、广西的平坝丘陵和低山区种植，注意防治地下害虫。
东峰二号,农业##植物##种子,东峰二号，该品种为一代杂交种，早熟，具有优质丰产，抗病耐运等特点，与“墨茄”对照早熟10-15天，较“三月茄”熟性相同，比普通“墨茄”增产50％以上，果色紫黑富有光泽，果肉青白，果长40厘米左右。大棚春栽连荐水稻亩产5000公斤，延秋高产田块可达8000公斤以上。
东峰红,农业##植物##种子,东峰红是莴笋的一个品种，叶片呈披针形，突尖、有皱，根系浅而密集，株高60-70厘米，最佳播种期为9月上旬至12月上旬，株行距25×30厘米，移栽前施足有机肥和复合肥，出苗后配施提苗肥，长茎肥。易获得高产。高山地区播种期可根据当地气温和不同海拔相应调整，确定当地播种期。
东方56,农业##植物##种子,东方56白菜由江苏省农业科学院蔬菜研究所以T5×T6配组，于2006年育成，属青梗不结球白菜品种，2009年参加江苏省鉴定试验，平均亩产3773.2公斤。
东方18,农业##植物##种子,东方18，是植物界、被子植物门的一种植物。 由江苏省农业科学院蔬菜研究所以T5C×T青配组，于2006年育成，属青梗不结球白菜品种，适宜江苏省秋季露地栽培。
丹137,农业##植物##生物##自然,丹137是1999 年丹东农科院稻作研究所以中辽9052为母本，以龙粳8号为父本人工杂交系选而成的水稻品种。
丹玉402号,农业##植物##生物##自然,丹玉402号，被子植物门，禾本目，禾本科。2002年冬以自选系丹299为母本，以自选系DH34为父本组配而成的单交种。母本来源于美国杂交种78599为种质资源，父本是以丹340变异株为基础材料经过连续自交于1998年选育而成。辽宁沈阳、铁岭、丹东、大连、鞍山、锦州、朝阳、葫芦岛等有效积温在2900℃以上的晚熟玉米区种植。
丹玉403号,农业##植物##生物##自然,丹玉403号是由丹东农业科学院研制的品种，于2002年冬以自选系D95为母本，以自选系DH34为父本组配而成的单交种。母本是由D25和丹599杂交经多代自交选育而成，父本是以丹340变异株为基础材料连续自交选育而成。辽宁沈阳、铁岭、丹东、大连、鞍山、锦州、朝阳、葫芦岛等有效积温在2900℃以上的晚熟玉米区种植。
东农710,农业##植物##生物##自然,东农710，以耐贮藏、耐低温和抗病的两个高世代自交系为亲本，配制成中熟、抗多种病害、耐贮藏运输、货价期长、耐低温能力强的番茄一代杂种“东农710”。经过2年的黑龙江省番茄区域试验和1年生产试验。
丹玉83号,农业##植物##生物##自然,丹玉83号，幼苗叶鞘紫色，叶片深绿色，叶缘紫红色。株型半紧凑，株高338厘米，穗位169厘米，成株叶片数22片。花丝红色，花药黄色，颖壳黄色。果穗筒型，穗长23.7厘米，穗行数16～20行，穗轴白色，籽粒黄色，粒型为半马齿型，百粒重41.3克。倒伏（折）率0～2.6%。经农业部农产品质量监督检验测试中心（沈阳）测定，籽粒容重722.7g/L，粗蛋白含量10.24%，粗脂肪含量4.39%，粗淀粉含量74.45%，赖氨酸含量0.33%。
丹玉89号,农业##植物##生物##自然,丹玉89号是由丹东农业科学院研制的渔民品种，幼苗叶鞘紫色，叶片绿色，叶缘紫色，2005～2006年参加辽宁省玉米晚熟组区域试验，18点次均增产，两年平均亩产683.9公斤，比对照丹玉39号增产14.0%；2006年参加同组生产试验，平均亩产656.6公斤，比对照丹玉39号增产7.5%。在辽宁沈阳、铁岭、丹东、大连、鞍山、锦州、朝阳、葫芦岛等有效积温在2900℃以上的晚熟玉米区种植。
丹玉九六号,农业##植物,丹玉九六号是国家审定种植农作物品种，经第二届国家农作物品种审定委员会第一次会议审定通过，中华人民共和国农业部二○○七年十一月十四日公告。适宜在辽宁中部和南部、吉林晚熟区、河北北部、山西（汾阳地区除外）、内蒙古赤峰地区、陕西延安地区春播种植。
丹阳红掌,农业##植物,丹阳红掌，广州花卉研究中心、华南农业大学农学院选育。生长势强，分蘖性中等，株型紧凑，具短缩茎，叶柄和纵轴之间的夹角约17.5°，生长36个月的平均株高为60.7厘米，冠幅60.8厘米。叶片平均长25.4厘米，宽16.7厘米，深绿色，卵形，革质，富有光泽，凹陷程度弱，叶基圆裂片平展不接触。
丹科2187,农业##植物##生物##自然,丹科2187属，是生物学植物系统分类中禾本科。 于玉米的一种品种，于2002年以T96为母本，以DH34为父本组配而成的单交种。母本是以H351/L59/178为基础材料，经连续自交6代选育而成。父本来源于丹340的变异株。
丰丽2号,农业##植物##种子,丰丽2号，无限生长，早熟，植株生长中等，节间短，叶片较小，耐寒性好，在低温条件下能正常坐果并具有很强的连续坐果能力，果实扁圆形，正常栽培条件下无青皮，无裂果，单果重200~220克，果皮深红，光滑艳丽，萼片伸展，美观漂亮，果实坚硬，大小均匀，口味好，耐贮运。
丰产二号,农业##植物##种子,丰产二号，豆角，早熟、丰产、耐热、抗病性强。荚长约65厘米，无鼠尾、色泽油青有光泽、肉爽甜品质优、肉厚耐贮藏，植株长势旺，分枝多，翻花力强，亩产约2000公斤。广州地区适播。
二金条,农业##植物##种子,二金条 ，辣椒的一种。外挂为株型紧凑，结实率高，株高65-75厘米。
丰冠节瓜,农业##植物##蔬菜,丰冠节瓜是广东省农业科学院蔬菜研究所选育的杂交一代品种。瓜呈长圆筒形，肉质致密，品质较好，感疫病，高抗枯萎病，田间表现耐热性、耐寒性、耐涝性和耐旱性强。
丰产六号,农业##植物##种子,丰产六号，是一种豆角，主要特性为植株蔓生，侧蔓少等，田间表现较抗枯萎病，中抗锈病和疫病，亩产可达2500公斤。
丹玉404号,农业##植物##生物##自然,丹玉404号由丹东农业科学院玉米所于2002年以外引系H185为母本，以外引系吉853为父本组配而成的单交种。主要种植在辽宁抚顺、铁岭、本溪等地区。
丰甜4号,农业##植物##种子,丰甜4号属葫芦目是一种植物。哈密瓜类中早熟品种。果实椭圆形，果皮青色覆网纹；肉桔红色，厚3.8-4.2厘米，肉质细脆爽口，中心糖可达14-16%；单瓜重1.5-2.5公斤。适宜在甘肃省兰州、白银等地保护地种植。
丰田三号,农业##植物##种子,丰田三号，早中熟春秋茄王新品种，生长势强，株型紧凑，座果能力强，抗病，商品性状优，果长28－35厘米，横径5－6厘米，单重250克左右，圆底，头尾均匀，果肉硬实，果皮深紫红色，有好的光泽，果肉白色，品质佳。适合中国各地春秋栽培及海南、广东、广西、福建冬种，高山区夏种。
丰源1号,农业##植物##生物##自然,丰源1号，是丰源种业北方玉米研究所1998年组配的中杆大果穗型玉米杂交种。适宜辽宁、吉林大部、河南、河北、山东等地区种植。
丰软占,农业##农作物##植物##水稻,丰软占为感温型常规稻品种。晚造全生育期与对照种粳籼89相当。产量与对照种相当，米质鉴定为国标和省标优质2级，高抗稻瘟病，中感白叶枯病，耐寒性中弱。适宜中南和西南稻作区的平原地区早、晚造种植，是生物学植物系统分类中双子叶植物纲下一个的物种名称。
GN527,农业##植物##种子,"GN527，引进美国GENOSYS LLC公司的油葵杂交种，属早熟品种，生育期85天左右,株型紧凑，叶色深绿，叶片小，叶厚，叶沿缺刻深；个别植株底部有分枝，且分枝能形成葵盘；单盘籽粒数1600粒。"
光亚2号,农业##农作物##植物##水稻##生物##自然,光亚2号是由中国水稻研究所通过的水稻新品种。光亚2号是利用国内外第一个育成的带淡绿色叶标记性状的籼型光温敏核雄性不育系M2S配置的两系杂交稻组合，可作单季和连晚种植。经多年、多级的区域试验、试种及示范，表现杂种优势强、结实率高、米质优和抗稻瘟病等优点。2001年4月通过了浙江省品种审定，是生物学植物系统分类中单子叶植物纲下一个的物种名称。
冈优一五八,农业##植物##水稻,冈优一五八，四川农业大学水稻研究所选育。该品种属籼型三系杂交水稻。在长江上游作一季中稻种植全生育期平均151.0天，比对照Ⅱ优838早熟3.2天。株型较松散，每亩有效穗数16.0万穗，株高118.7厘米，穗长26.4厘米，每穗总粒数178.1粒，结实率81.6%，千粒重28.6克。
冈绿,农业##植物##种子,冈绿自日本引进材料，杂交一代优质甘蓝种子。该品种自日本引进材料，杂交一代优质甘蓝种子。早中熟，叶球近圆形，叶色浓绿，叶球紧实，单球重1.6kg。定植后60-65天可采收。
九九紫红茄,农业##植物##种子,九九紫红茄 ，该品种较耐青枯病、毒素病。中熟，适合春、夏、秋种植，播种至初收春植约100天，秋植约75天。茄型端直，头尾均匀，外形美观，色泽深紫红亮丽。茄长26-30公分左右，横径约5公分，肉厚，质雪白细嫩，连续采收期长。
久脆,农业##植物,久脆2009年1月通过了河北省林业局组织的技术成果鉴定。1995年开始利用自然实生育种对“大久保”桃进行品种改良，旨在培育果实性状与“大久保”类似但成熟期不同、较耐贮运的新品种。　可在河北省满城县、唐山市丰润区、秦皇岛海港区等地区栽培。
井冈701,农业##植物##生物##自然,“井冈701”是江西省农科院生物工程中心芦笋研究课题组选育的无性系杂交F1代芦笋新品种，2007年10月通过江西省品种审定委员会审定。
九九王,农业##植物##种子,九九王品种较耐青枯病、毒素病。中熟，适合春、夏、秋种植，播种至初收春植约100天，秋植约75天。茄型端直，头尾均匀，外形美观，色泽深紫红亮丽。茄长26-30公分左右，横径约5公分，肉厚，质雪白细嫩，连续采收期长。
