冀香糯1号: 	农业部:S-Ni 河北省:B-Ns 秦皇岛:I-Ns 唐山市:E-Ns 
保玉1号: 	保玉1号:B-Ni 江苏:I-Ni 保丰:I-Ni 集团:I-Ni 有限公司:E-Ni 中熟:S-Ns 
岑溪软枝油茶: 	广西:B-Ni 林科院:E-Ni 
D优二零二: 	四川:B-Ni 农业大学:I-Ni 水稻:I-Ni 研究所:E-Ni 四川:B-Ni 农大:I-Ni 高科:I-Ni 农业:I-Ni 有限责任:I-Ni 公司:E-Ni 安徽:B-Ni 川:I-Ni 农高科:I-Ni 种业:I-Ni 有限责任:I-Ni 公司:E-Ni 
东三一五: 	
东单335: 	东单335:S-Ns 禾:S-Nh 叶鞘:S-Nh 
东单80号: 	东单80号:B-Ni 辽宁:I-Ni 东亚:I-Ni 种业:I-Ni 有限公司:E-Ni 丹:S-Nh 辽宁:B-Ns 吉林:E-Ns 北京:B-Ns 天津:I-Ns 河北:E-Ns 山西:S-Ns 云南:B-Ns 贵州:I-Ns 四川:I-Ns 重庆:I-Ns 湖南:I-Ns 湖北:I-Ns 广西:I-Ns 平坝:E-Ns 
东单100号: 	东单100号:B-Ni 辽宁:I-Ni 东亚:I-Ni 种业:I-Ni 有限公司:E-Ni 叶鞘:S-Nh 叶缘:S-Nh 
东单八零号: 	东单80号:B-Ni 辽宁:I-Ni 东亚:I-Ni 种业:I-Ni 有限公司:E-Ni 丹:S-Nh 辽宁:B-Ns 吉林:E-Ns 北京:B-Ns 天津:I-Ns 河北:E-Ns 山西:S-Ns 云南:B-Ns 贵州:I-Ns 四川:I-Ns 重庆:I-Ns 湖南:I-Ns 湖北:I-Ns 广西:I-Ns 平坝:E-Ns 
东峰二号: 	
东峰红: 	
东方56: 	东方56:B-Ni 白菜:I-Ni 江苏省:I-Ni 农业:I-Ni 科学院:E-Ni 江苏省:S-Ns 
东方18: 	江苏省:B-Ni 农业:I-Ni 科学院:E-Ni 江苏省:S-Ns 
丹137: 	丹东:B-Ni 农科院:E-Ni 
丹玉402号: 	美国:S-Ns 辽宁沈阳:B-Ns 铁岭:I-Ns 丹东:I-Ns 大连:I-Ns 鞍山:I-Ns 锦州:I-Ns 朝阳:I-Ns 葫芦岛:E-Ns 
丹玉403号: 	丹玉403号:B-Ni 丹东:I-Ni 农业:I-Ni 科学院:E-Ni 辽宁沈阳:B-Ns 铁岭:I-Ns 丹东:I-Ns 大连:I-Ns 鞍山:I-Ns 锦州:I-Ns 朝阳:I-Ns 葫芦岛:E-Ns 
东农710: 	黑龙江省:S-Ns 
丹玉83号: 	叶鞘:S-Nh 叶缘:S-Nh 农业部:B-Ni 农产品:I-Ni 质量:I-Ni 监督:I-Ni 检验:I-Ni 测试中心:E-Ni 沈阳:S-Ns 
丹玉89号: 	丹玉89号:B-Ni 丹东:I-Ni 农业:I-Ni 科学院:E-Ni 叶鞘:S-Nh 辽宁省:S-Ns 辽宁沈阳:B-Ns 铁岭:I-Ns 丹东:I-Ns 大连:I-Ns 鞍山:I-Ns 锦州:I-Ns 朝阳:I-Ns 葫芦岛:E-Ns 
丹玉九六号: 	中华人民共和国:B-Ni 农业部:E-Ni 辽宁:S-Ns 吉林:B-Ns 晚熟:E-Ns 河北:S-Ns 山西:B-Ns 汾阳:I-Ns 地区:E-Ns 内蒙古:B-Ns 赤峰:I-Ns 地区:E-Ns 陕西:B-Ns 延安地区:E-Ns 
丹阳红掌: 	丹阳红掌:B-Ni 广州:I-Ni 花卉:I-Ni 研究:I-Ni 中心:E-Ni 势强:S-Nh 
丹科2187: 	丹:S-Ns 
丰丽2号: 	
丰产二号: 	广州地区:S-Ns 
二金条: 	
丰冠节瓜: 	丰冠节瓜:B-Ni 广东省:I-Ni 农业:I-Ni 科学院:I-Ni 蔬菜:I-Ni 研究所:E-Ni 
丰产六号: 	
