title,openTypeList,detail
荸荠杨梅,水果##经济作物,荸荠杨梅属于杨梅属植物，树姿开张，枝梢稀疏且树形较矮。因果偏小，形似荸荠而得名。
火焰无核葡萄,水果##经济作物##葡萄,火焰无核葡萄，原产美国，为美国FRESNO园艺试验站杂交选育的无核品种。
黑色甜菜葡萄,水果##经济作物##葡萄,黑色甜菜葡萄，原名布拉酷彼特（Black Beet）又称紫黑色 。是日本熊本县的河野隆夫由藤稔与先锋杂交育成，2004年在日本注册。属早熟特大粒欧美杂交种。
攀金葡萄,水果##经济作物##葡萄,植物学性状/攀金葡萄 编辑 			 		　　攀金葡萄植株新梢先端几片叶远看成微红色，近看上部有紫红色条纹，而且表面附有光泽，中下部叶片呈现绿色，叶片属于五裂，成龄叶片五裂明显。前裂克线深，后裂刻线较浅，叶背面有明显的脉纹，叶缘锯齿较锐，光照充足时，叶柄成红色或呈现淡红色，叶柄洼张开，卷须有无、双、单间隔，成熟枝条呈褐色或浅褐色。新西兰国宴葡萄品种—攀金葡萄  果实性状/攀金葡萄 编辑 			 		　　果穗特大、特长，果穗圆锥形，平均纵径25-26厘米，横径17-18厘米，平均穗重650-750克，大型穗可达2000-3000克。果粒特长跟人的手指一般；最大纵径可达4-5厘米，平均粒重20克左右。大型果可达28克，果粒坐落松紧适中，整齐均匀。果皮中等厚，不易剥皮，果实开始成熟为绿黄色到深黄色，完全成熟为金黄色。果色纯正，特别美观诱人，果肉脆甜可口，入口即化的感觉，果汁丰富，冰糖味，风味独特，多食不厌，可溶性固形物60%-70%，品质极上。果实结合紧密，果刷细而长，着生牢固，拉力、耐压力极强，在生产及运输中不裂果，不落粒，摘下单粒果时，能把果肉带起，果肉能切成片，每果粒含种子1-2粒，长途运输不掸粒，极耐贮藏，贮藏时间可达半年以上。  生长结果习性/攀金葡萄 编辑 			 		　　攀金葡萄在山东地区于3月下旬开始伤流，4月下旬开始萌芽，5月下旬6月上旬始花，受气候影响，每年有时提前或者推后3-5天，9月上旬果实成熟，果实生育期85-100天，从萌芽到果实完全成熟130-140天，采收期在中秋节前后，该品种幼树长势强旺，枝条成熟较迟，结果枝率在85%以上，结果系数1.8，极易挂果，产量较高；一般栽后两年结果，三年丰产，株产可达10-15千克。  栽培要点/攀金葡萄 编辑 			 		　　控制产量在2000-2500千克，来提高果品质量，利用嫁接改造老园第二年可恢复改接前产量，达到丰产期。
中华寿桃,土特产##山东##水果##特产##生物##社会##经济##经济作物##自然,中华寿桃是从中国北方冬桃自然芽变中选育出的新品种， 安徽宝凤苗木，最先推出优质种苗；此品种被誉为桃中极品，是发展绿色食品和出口创汇的优良品种，在各地该品种综合性状表现较好。该桃为我国特有，在发展我国特色优质水果，开拓国内外果品市场方面具有极其重要的意义。中华寿桃先在山东莱西扩繁，1987年在山东省各地有较大面积推广并定名。属北方桃品种群。
魏可葡萄,水果##浆果##经济作物##葡萄,植物学性状/魏可葡萄 编辑 			 		嫩梢淡紫红色，新梢生长自然弯曲，梢尖及幼叶黄绿色，无绒毛，有光泽。幼叶略带淡紫色晕。叶片上表面有光泽，下表面叶脉上有极少量丝状绒毛。成龄叶片大，心脏形，叶片裂刻中深，叶缘锯齿圆拱形。叶柄洼矢状。一年生成熟枝条棕红色。两性花。  果实性状/魏可葡萄 编辑 			 		果穗圆锥形，平均穗重450克，穗形大小整齐，果粒着生较松。果粒卵圆形，果皮紫红色至紫黑色，果粒大，平均粒重10.5克，有小青粒现象，果皮中厚，具韧性，果肉脆，无肉囊，多汁，果汁绿黄色，味甜，可溶性固形物含量20%左右，品质优良。  生长结果习性/魏可葡萄 编辑 			 		植株生长势强，芽眼萌发率90%，成枝率95%，结果枝率85%，每果枝平均1.5个果穗。隐芽萌发力强，且所萌枝条易形成花芽。丰产性强，抗病性强。果实成熟后可挂在树上延迟采收。在江苏张家港地区4月上旬萌芽，5月中下旬开花，9月中下旬果实成熟，从萌芽至成熟需170天左右，极晚熟品种。  栽培要点/魏可葡萄 编辑 			 		该品种生长势强，宜采用棚架或Y形篱架缓和树势。由于易形成花芽，栽培中应注意合理调整负载，防止产量过高影响果实品质，同时要加强果穗整理，及时清除小青粒。
漂浮育苗,园艺学##经济作物##蔬菜种植,基本概况/漂浮育苗 编辑 			 		　　   漂浮育苗又叫漂浮种植，浮动园艺（Floating garden）。漂浮育苗是一项新的育苗方法，是将装有轻质育苗基质的泡沫穴盘漂浮于水面上，种子播于基质中，秧苗在育苗基质中扎根生长，并能从 基质和水床中吸收水分和养分的育苗方法。始于20世纪80年代末，美国烟草采用漂浮育苗法进行育苗。与传统育苗法比较，它具有可减少移栽用工、节省育苗用地、便于烟苗管理、有利于培育壮苗、提高成苗率等优点。  应用领域/漂浮育苗 编辑 			 		　　漂浮育苗是多用于生长期较短的绿叶类 蔬菜、 烟草等植物的一种农业种植技术，可保证植物生长的一致性，避免传统栽培方式引起的土壤病虫害问题，被广泛用于世界各地的温室种植。对于某些蔬菜作物，在温室利用漂浮育苗进行植物的栽培生产，能带来更大的收益率，更高的质量，并延长收获时间，限制并减少农药的使用量。  　　大多数的漂浮育苗技术是采用发泡育苗穴盘进行生产，在育苗盘内添加泥炭、蛭石等无土栽培基质，播种后放入水床中，育苗盘底部留有小孔，以利于植物根部对水分和营养的吸收。  　　漂浮育苗的栽培环境具有高密度、高湿度的特点，因此对于病害的管理，尤其是病原体的传播和感染，显得很重要，对于生产资料和工具，以及操作过程要严格消毒，以保证病原体及害虫没有机会侵染到植株。  技术要点/漂浮育苗 编辑 			 		 消毒　　（1）、育苗盘消毒：用1%～2%的 福尔马林液或0.05%～0.1% 高锰酸钾喷洒，盖膜熏蒸1d～2d，然后用清水冲洗干净。用0.5%或0.05%～0.1%高锰酸钾溶液浸泡4小时，再用清水清洗干静。新育苗盘可免去此步骤。  　　（2）、育苗棚、池消毒：遵循长期、多次、多种药剂的消毒原则。采用斯美地董蒸消毒，董蒸时间不少于7天；也可采用不同的广谱型杀虫剂、杀菌剂分次进行喷洒消毒。  　　（3）、育苗基质消毒：同育苗棚与育苗池的消毒相同。  　　（4）、剪苗器械消毒：每剪一池（机器）或一盘（人工）消毒1次。采用75%的酒精擦拭或用酒精灯烧进行消毒。 装盘　　   先将基质用清水洒湿，湿润程度以手握成团，放开手后轻轻一动可散开为宜。再将基质填满己消毒的育苗盘的孔穴，基质装填要充分、均匀，松紧程度要适中，以用手轻压不出现基质下落为度。 播种　　（1）、播种时间：根据移栽期确定播种时间。保证苗期55～65天时间或者出苗后40-50天时间移栽。一般云南播种期在2月上旬到3月上旬。  　　（2）、播种量：每个育苗孔穴内播2粒包衣种子。  　　（3）、播种深度：1～5mm。可采用打孔播种，打孔深度5mm，将烟种播在孔穴内，再用基质覆盖；也可采用先播种，后盖基质的方法，播种完毕后在种子表面撒一层1～2mm厚的基质。 水分管理　　漂浮育苗水分管理的原则是“先少后多”。从播种至大十字期时，由于气温较低，池中水分过多反而使基质中的温度低于气温，因此池中水分要少，一般水深控制在5～10㎝。烟苗生长进入大十字期后，气温在逐渐升高，水分的蒸发加大，营养池中的水深可加到10～15㎝，原则上使育苗盘与池埂平齐时池水深度正好合适。 间苗和定苗　　在小十字期进行，拔去穴中多余的苗，空穴补一苗，保证每穴一苗。 营养液管理　　可采用育苗专用肥（全营养），也可直接使用烟用复合肥。氮磷钾比例以1:0.5:1为宜。不论采用全营养液还是复合肥，施肥浓度原则上是营养液的总盐分不能超过0.3%。烟苗生长早期（播种后30天前）营养液中氮素浓度以100～150mg/Kg为宜，播种35天以后以150㎝200mg/Kg较适宜，磷和钾的浓度按上述1:0.5:1添加即可。为便于群众掌握和计算，可直接采用氮磷钾比例为15:7:15或者15:15:15的复活肥，前期用50～100mg/Kg的浓度，后期用150～200mg/Kg的浓度直接兑水配制即可。 营养液PH值校正　　营养液的PH值要求在5.8～6.5之间，否则，需进行PH值校正。营养液pH值偏高时，可加入适量的0.1NH2SO4校正。pH值偏低时，可加放适量的0.1NNaOH校正。每添加一次营养液，校正一次pH值，使用“精度pH试纸”或pH计进行测定。 温湿度管理　　温湿度通过棚膜的揭盖进行管理。  　　从播种到出苗期间，应使育苗盘表面的温度保持在200C～250C。以获得最大的出苗率，并保证出苗整齐一致；  　　从出苗到十字期，以保温为主，但在晴天中午气温高的情况下（棚内温度>30℃），要通风降温排湿，早晚注意保温。  　　从十字期到成苗，应避免极端高温，随着气温的回升，要特别注意通风，棚内温度最高不能超过35℃，防止烧苗。  　　成苗期，将四周的棚膜卷起，加大通风量，使烟苗适应外界的温度和湿度条件。在育苗过程中，大棚要经常通风排湿，相对湿度大于90%的持续日数不能超过3d。  　　塑料棚的密闭性好，因此当温度降低或突然降温时，棚内极易由于湿度过大而结露，在棚顶上形成水滴。水滴落下易击伤烟苗，因此发现这种情况，即使棚内温度已低于18℃也必须开门窗通风排湿。 剪叶　　   烟苗剪叶的原则为“前促、中稳、后控”。当烟苗长到5片真叶时开始第一次剪叶，原则是“前促”，即控大苗，促小苗。将大苗的叶片，特别是将遮住小苗的叶片剪去，保证小苗充分的通风透光，一般每隔5～7d修剪一次。到第二次、第三次剪苗时，主要的原则是“中稳”，保证烟苗生长的地上部分和地下部分协调一致和整盘烟苗生长的均匀性；到烟苗接近成苗时剪苗的原则是“后控”，即根据移栽期适当控制烟苗的生长，保证培育出壮苗移栽到大田。一般剪苗3～5次，全盘剪高度距生长点3～4cm。剪叶应在烟苗叶片露水干后进行。剪叶工具必须消毒，盘上的碎叶应清理干净。 炼苗　　当烟苗达到成苗标准时，从营养池中取出育苗盘，断肥、断水炼苗，同时，在棚两侧昼夜通风。炼苗的程度以烟苗中午发生萎蔫，早晚能恢复为宜。炼苗时间一般为7～10d为宜。  注意事项/漂浮育苗 编辑 			 		　　   避免非工作人员进入育苗棚，育苗棚只允许1～2名操作人员进入。保持棚内环境卫生，操作人员不得在棚内抽烟，不得在营养液中洗手，洗物等。修剪的叶片应及时带出育苗棚处理，不得留在棚内。剪叶前应检查烟苗是否带病，在苗床出现病株，应及时拔除，在远离育苗棚的地方集中处理，并及时对症施药，揭膜通风，切忌延误。剪叶工具应用福尔马林消毒，操作人员应用肥皂洗手。  病虫害防治/漂浮育苗 编辑 			 		　　烤烟漂浮育苗的病虫害防治要以预防为主，消除病源，控制发病条件。鉴于烟草农残的控制要求，漂浮育苗的病虫害防治已由传统的农药防治转向物理防治。常用的物理防治方法有 物理植保技术，比如水媒传播的青枯病、猝倒病以及霜霉病等可利用 空间电场生物效应中的空间电场防治法予以控制，而飞翔类蚜虫等可以通过设置防虫网、光诱与色诱相结合的阻隔-电击杀法控制。蛞蝓、线虫的危害可以采用 土壤电消毒法进行控制。  　　在认真做了育苗前的各项消毒工作后基本不会有病虫害的发生。如果育苗过程中出现病株就应及时清除，同时对其它未感病的烟苗喷施防治药剂。在漂浮育苗过程中要特别注意病毒病的预防，剪苗前或剪苗后应及时喷施防病毒病的药剂。
黄秋葵种子,植物学##经济作物##蔬菜种子,黄秋葵种子，锦葵科秋葵属1年生草本植物黄秋葵老熟后的果实，粒如绿豆大小，圆形，壳较厚，种仁富含多种营养元素及咖啡因，可作为高档咖啡，又因含量油丰富，油质特优，未来必将成为高端食用油。它嫩时既是营养丰富的保健型佳蔬（补肾、健胃、清火、减肥等），还是观赏价值颇高的绿化、美化材料，是一种菜、药、花兼用型植物，发展前景十分广阔。目前种子商品化开发刚起步，市场不成熟，但作为特蔬引种已经引起全国范围的热忱，不过大家要注意引种千万不要陈旧的种子（即超过一年的种子），也不不必要单纯追求产量，黄秋葵目前至未来占领全国市场的主流品种应该一直会是中杆（1.6M）、果深绿色的品种。
清明早茶,温州##经济作物##茶##茶文化,瑞安清明早茶是温州四大名茶之一，外形扁平光滑、色泽翠绿，汤色明亮，滋味鲜爽、香气持久。2012年8月，温州瑞安“清明早”获地理标志证明商标。
豫农416,农业##水稻##生物##经济作物##自然,豫农416由河南农业大学利用豫麦49为母本、（豫麦21/豫麦35）F1为父本进行有性杂交，通过系谱法历时十年培育而成的小麦新品种，2009年通过河南农作物品种审定委员会审定，审定编号：豫审麦2009001。该品种的丰产性居国内领先水平，具有亩产750公斤以上的产量潜力，是冬水组对照品种更换为周麦18后首批通过审定的小麦新品种。
