title,openTypeList,detail
《茶道养生》,书籍##出版##出版业##出版物##图书##文化##茶##茶学##茶文化,《茶道养生》介绍的“茶道养生”的理论与实践，是林治潜心对茶学研究的成果，是他对饮茶保健的创新，是他长时间以来对茶道心得体会的结晶，作者林治。
桂花龙井茶,茶##茶叶##茶学##茶文化,桂花龙井茶/桂花龙井茶 编辑 			 		桂花龙井者，只因誉满天下的“绿茶皇后”西湖龙井与代表杭州城市形象的桂花窨制而成。这一春一秋，历经半年之久才有一次完美的邂逅。集茶味与花香为一体，茶引花香，花益茶味，两美兼备，相得益彰。丹桂飘香时，一盏桂花龙井茶，她不仅代表一个城市独具特色的人文景观、文化底蕴、精神风貌，更体现了人与自然的和谐统一。她承载着不仅是城市的历史，更寄托了人们的精神向往。 　　《桂花龙井》，花薰茶十友之一，作曲家张福全。在音乐中融合大自然的音声：水流、虫鸣、鸟叫、海潮声等，使听者能随着音乐进入花与茶所融合的世界，在茶香萦绕中，感觉到清风微拂、彩蝶轻舞、山岚飘飞、云海翻滚……，而能悠游于大自然的英华之中。  历史追溯/桂花龙井茶 编辑 			 		 桂花历代作为一种名贵树种，其花被世人所喜爱，除了供人们欣赏之外，也是文人墨客作为寄物思情的载体。如唐朝著名诗人王维有诗《鸟鸣涧》为证：人闲桂花落，夜静春山空。月出惊山鸟，时鸣春涧中。到了宋朝，桂花茶已被追捧和喜爱。宋代刘士亨在《谢璘上人惠桂花茶》中云：“金粟金芽出焙篝，鹤边小试兔丝瓯。叶含雷信三春雨，花带天香八月秋。味美绝胜阳羡种，神清如在广寒游。玉川好句无才续，我欲逃禅问赵州。”且说桂花龙井，茶坯以精制西湖龙井上等原料为主，西湖龙井茶的前身是唐宋时期杭州灵隐、天竺一带寺僧种植炒制的佛门山茶。杭州地处东南，气候温润，物产丰阜，远古时期，即为我国早期“茶”的发祥地之一。 由此可以推断，桂花龙井早在宋代时期已经存在。 　　随着历史的发展，西湖龙井文明古今中外，位居我国名优茶之首，誉为“绿茶皇后”。同时杭州地处我国 东南沿海北部，属亚热带季风气候，是适宜桂花树生长地带。两者结合也成必然，在民间早已形成了品桂花龙井茶得习俗，在当地颇为盛行。每到桂花龙井盛开时，当地茶农都会窨制一些桂花龙井茶。中秋团圆时节，全家共食月饼共品这难得的桂花龙井，以形成了一种别有风味、独具地方特色的民风民俗。再者，到过年时，桂花龙井也是招待亲朋好友以及贵宾的最佳饮品。 　　现在，随着人们物质、精神、文化等生活需求的多样性，茶产业的发展。桂花龙井从农户走到了市场，已经不再是杭州本地人的宠爱，更是代表了杭州的品质休闲生活。在杭州众多茶叶企业中，杭州山地茶业有限公司生产的山地牌桂花龙井，获得了广大销售者的喜爱。  基本信息/桂花龙井茶 编辑 			 		 【类别】：花茶或窨制茶　 【总述】：桂花龙井以浙江杭州一带文明。因茶坯采用西湖龙井，桂花又被列为杭州的市花，以满觉陇茶产区种植的桂花树种最为名贵，两者通过茶叶加工工艺中窨花工艺制作而成。品饮桂花龙井茶，既有浓郁爽口的茶味，又有鲜灵芬芳的花香，杯茶在手，但觉花气袭人，甘芳满口，令人心旷神怡。 　　龙井飘香八月秋，芽镶金桂嵌子油。不羡明前初摘叶，只贪手里杯馨流。可见桂花龙井的珍贵，现在也是现在来杭游客首选的城市纪念礼品之一。  桂花龙井的原料： 　　一、茶坯 　　精制的西湖龙井茶有原料。主要以一芽一叶或一芽两叶初展的鲜叶按照西湖龙井的工艺制作制作而成，多以清明过后至谷雨前制作的西湖龙井为最佳。 　　二、桂花 　　桂花以中秋时分，桂花盛 　　开时，采摘的鲜花为主。花开不能太早也不能太晚，以花刚盛开为宜。雨水花及带有　露水的花不能采。 加工工艺—窨制 　　桂花龙井是由精制西湖龙井茶坯与鲜桂花窨制而成的一种名贵花茶，香味馥郁持久，茶色绿而明亮，深受消费者宠爱。 　　1、原料配比：一般按50公斤精制茶胚配用鲜桂花15公斤，可视花茶的档次适当增减。 　　2、茶胚窨花：首先在洁净的竹垫或白布上铺放一层茶胚，然后按原料配比量均匀加放一层桂花。照此　一层茶一层花重复铺成堆，顶层以茶胚覆盖堆窨。若室内温度低于20℃时，用白布罩盖茶堆保持温度稳定，促使鲜花正常吐香。桂花较少时，可按上述方法在木箱等容器中与茶坯窨制。 　　3、通花散热：通花就是将茶堆扒开晾凉。当茶胚吸香2-3小时、茶堆温度上升到40℃时，要及时扒开茶堆，上下翻动1次，让其散热。当茶堆降温至30℃以下时，须收拢成堆进行第2次窨花，使茶胚均匀吸香。 　　4、筛除花渣：待桂花成萎蔫状态，花朵变成紫红色，手摸茶胚柔软而不沾手时，就应结束窨花。扒开茶堆，将花渣筛去，晾干后可配入茶中。 　　5、复烘干燥：茶胚在窨花吸香时，也吸收了大量水分，含水量高达15%，要尽快复烘干燥，使含水量降至5%左右，以免霉变。 　　6、包装贮藏：烘干后即成桂花茶，自然冷却24小时，按重量规格用精致纸袋和复合膜袋密封包装好，装入纸箱内，就可供应市场或放入通风干燥的室内贮藏。  桂花龙井的品质特征/桂花龙井茶 编辑 			 		 　　把桂花的花香窨制到西湖龙井茶中，在品质上具有西湖龙井的“四绝”之外，打开茶包，一股浓郁的桂花香扑鼻而来，凑近细闻之，花香中带有淡淡的茶香，两者浑然一体。冲一杯桂花龙井茶，桂花漂浮在上，犹如夜空中的繁星，弥漫着整个茶杯。轻轻酌一口桂花龙井茶，茶汤中带有丝丝桂花的香甜，茶引花香，花益茶味，相得益彰。茶心和花心完美结合，心心相印。  桂花龙井的等级/桂花龙井茶 编辑 			 		 　　桂花龙井在国家标准中本无等级划分，主要以茶坯西湖龙井的等级划分为依据。因为桂花龙井对茶坯要求较高，一般采用特级、一级、二级西湖龙井茶为主。  桂花龙井的品牌/桂花龙井茶 编辑 			 		 　　杭州山地茶业有限公司出品的山地牌桂花龙井深受广大消费者喜爱。其产品既传承了传统工艺，又结合现代品质管理技术。该公司是目前杭州西湖龙井众多生产厂家中现代化水平最高的企业。首创的“原叶绿茶为两重充氮自动分装技术”，是的茶叶在普通环境下，历时一年以上仍能保持最初的完整、新鲜、干燥和芬芳。技术的创新和改革，解决了以往绿茶难于保鲜的问题。 　　杭州山地茶业有限公司与中国茶叶博物馆联合推出了馆藏标准茶产品的制作。广大消费者和茶叶爱好者都可以在中国茶叶博物馆品鉴正宗风格的山地西湖龙井及桂花龙井。
《亮剑普洱》,书籍##出版##出版业##出版物##图书##文化##茶##茶学##茶文化,《亮剑普洱》从茶史、茶性、茶趣、茶艺、茶道、市场、养生等七个方面，条分缕析，全面系统地论述了普洱茶的产销历史、品质特性、品饮技法和茶道养生之说，匡正了普洱茶文化传播中许多不确切的说法，作者林治。
屠幼英,人物##教授##文化人物##茶##茶叶##茶学,博士，教授。现供职于浙江大学，长期从事茶叶教学与研究，成功开发生产过多项茶多酚、茶黄素、速溶茶产品。
不对茶人说茶,白茶##茶学##茶文化,此词条暂无内容，欢迎您参与编辑，享受分享贡献知识的乐趣。建议您在编辑词条之前，可先参考帮助中心文档，了解更多关于词条规范的信息。同时也可先熟悉编辑器的使用。若有疑问，欢迎联系： 在线提问：帮助小组联系我们友情提示：编写内容之前需删除以上内容。
茶垢,生活##茶##茶健康##茶叶##茶学##茶文化##饮食,茶垢别称茶渍、茶山，指茶具内壁的垢物，因长期容放茶水聚积而成。茶壶长久盛放茶水，茶水中的各种矿物沉淀于茶壶曲圆的内壁，日久聚积成一层茶垢。特别老的茶壶聚积厚厚的一层茶垢，在茶文化中称作“茶山”。这种带有一层茶山的茶壶往往可以增加茶壶的收藏价值。一些带有茶山的茶壶甚至放进热开水便可化解内壁的茶垢，化水为茶，誉称“无茶也有三分香”。茶渍在饮茶时带入身体，与食物中的蛋白质、脂肪和维生素等营养化合，生成难溶的沉淀，阻碍营养的吸收。同时，这些氧化物进入身体还会引起神经、消化、泌尿造血系统病变和功能紊乱，尤其是砷、镉可致癌，引起胎儿畸形，危害健康。
蔡如桂,专家##学者##茶##茶叶##茶学,蔡如桂，汉族，1940年出生。1966年出师于包拯家乡的安徽农业大学茶业系。长期在陕西汉中市镇巴从事茶叶科研和技术推广工作。
都督毛峰茶,土特产##安徽##特产##茶##茶学,都督毛峰茶，广西特产，产于无为县六店乡都督山、巢湖市坝镇一带，特点是味醇、汤绿。
大茶网,茶##茶具##茶叶##茶学,"大茶网由2007年度中国改革创新先锋人物,中国信息网、同城网络创始人,自由撰稿人，湖南茶业界、策划界人士，民营企业家刘健创立于2013年11月1日。 大茶网是大农科技股份有限公司旗下品牌，弘扬茶文化、提升茶叶产业综合竞争力、发挥现代农业和富民政策，依托中共湖南省委省政府（湘政发2013）26号文件提出的打造千亿茶产业目标，由湖南省茶业协会电子商务专业委员会共同组建而成。 大茶网专注于创造简单、快捷涉茶类购物体验，推动中国茶产业壮大与国际推广，填补国内茶业市场空白，整合散乱商户资源，提供电商平台进行线上线下互动体验式营销，让商品渠道统一化、标准化。 大茶网立志成为国内茶业电商第一品牌，建立购买便捷，高性价比，体验度，服务的涉茶产业交易一站式购物平台。建立以茶行业为核心，涵盖物流、终端、茶类网络系统、茶附属品、茶文化、行业咨询平台等项目，开展加盟体系、终端一站式管理、产品开发设计与销售等服务。"
茶学重点实验室,实验室##茶学##茶学文献,茶学重点实验室，前身为成立于1990年的湖南农业大学高技术速溶食品研究中心和湖南农业大学茶叶研究所。2003年11月被教育部批准列入省部共建重点实验室。
